final_prism_id,event_id,state,latitude,longitude,elevation_m,slope_deg,aspect_deg,curvature,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,land_cover,ndvi,soil_type,distance_to_river_m,distance_to_road_m,landslide,monsoon_phase,severity_class,is_fatal,reliability_score,source,prism_record_id,record_type,landslide_id,location_id,district,source_state_code,source_district_code,location,locality_nh_sh,toposheet_no,coordinate_quality_flag,history,material_type,type_of_movement,rate_of_movement,activity,distribution,style,failure_mechanism,scar_length_m,scar_length_m_raw,length_m,length_m_raw,width_m,width_m_raw,height_m,height_m_raw,runout_distance_m,runout_distance_m_raw,depth_m,depth_m_raw,volume_m3,volume_m3_raw,landslide_area_m2,landslide_area_m2_raw,geomorphology,geology,structure_data,land_use_land_cover,hydrological_condition,rainfall_mm,triggering_factor,geo_scientific_causes,remedial_measures,fatalities,fatalities_raw,people_affected,people_affected_raw,livestock_loss,livestock_loss_raw,damage_communication,damage_infrastructure,agriculture_forest_barren,geomorphological_process,geomorphological_form,weathering,rock_characteristic,overburden_type,overburden_thickness_m,land_use_type,erosion,slope_susceptibility_assessment,qualitative_risk_assessment,landslide_label,spatial_scale,source_page,northeast_region,dataset_origin,record_provenance,synthetic_record,data_role,source_dataset,observed_status,label_fill_source,environmental_data_status,external_enrichment_policy
PRISM_FINAL_006021,2000632.0,Mizoram,23.36483486653771,93.06732141172552,532.5905158069461,32.31870106058942,148.05636045890526,-1.140083140040967,29.04073722908083,88.02743372023689,159.56474762503973,Cropland,0.2241094826129863,Clay Loam,245.92252280591336,377.4165601681645,1.0,Monsoon (Jun-Sep),No fatalities,0.0,6.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006023,2000770.0,Manipur,24.79635086430825,93.69506932042373,968.0160540745712,31.16307148444253,316.2424614391143,-1.4056870796927097,103.49654636788875,283.2155765326573,563.0660783406778,Barren/Degraded,0.4425547092756313,Sandy Loam,802.5809861119125,296.00110617774226,1.0,Monsoon (Jun-Sep),Severe (5+),1.0,5.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006025,2000360.0,Tripura,23.845860749698,91.8570179958451,325.68207028174265,12.56918102151406,333.50010464995484,1.2961815513182071,72.55391815064048,193.2068780795257,357.6226193106219,Barren/Degraded,0.466139847949154,Loam,550.6845762132926,210.6064350275184,1.0,Monsoon (Jun-Sep),Moderate (3-5),1.0,5.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006028,2000450.0,Manipur,24.01577245332829,93.9758596159062,842.9733764621608,35.12788653626533,275.01026983676707,1.7038392111706542,225.70175514726023,636.5202802931896,1249.0700357471055,Shrubland,0.6064466722253197,Silty Clay,664.0097296080974,672.5695434471409,1.0,Monsoon (Jun-Sep),No fatalities,0.0,4.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006031,2000255.0,Assam,24.78285394771336,93.00588491849076,103.08558986295552,16.589138416076104,186.9280201215645,0.1855318786338263,90.59331713149976,257.57543731616266,491.77107636797,Dense Forest,0.7002838572066746,Loam,127.85734343932054,557.2369690356823,1.0,Monsoon (Jun-Sep),Moderate (3-5),1.0,6.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006035,2000611.0,Manipur,24.25309594851527,93.28784555977631,693.5382676165599,30.208417412878227,65.3609884259947,-1.3583534280647824,30.53481201177057,81.25340955204786,162.72818201357947,Shrubland,0.2075194299662527,Laterite,693.2586631822027,592.3041480189307,1.0,Monsoon (Jun-Sep),No fatalities,0.0,6.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006036,2000496.0,Assam,24.958354417255343,92.7086748034598,42.3,20.041533029823007,331.4432850051116,-1.0299569942407751,101.06193895809588,253.9296915604573,514.5382467580648,Open Forest,0.2339266104446477,Loam,314.9940373429088,258.06605535356374,1.0,Monsoon (Jun-Sep),Moderate (3-5),1.0,5.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006043,2000768.0,Assam,26.10575076922562,90.0272165695277,222.78425378475723,20.230280351817505,242.03031221748097,1.4103353011837862,16.129431216408502,41.58176784507187,69.76602984662159,Open Forest,0.5585236826284132,Loam,406.2026943164096,480.4337313312518,1.0,Pre-monsoon (Apr-May),Minor (1-2),1.0,6.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006045,2000194.0,Manipur,24.404484956886265,94.11434559507838,1482.5374550225845,25.48265265611588,296.591324257375,1.343382091544614,41.029398091771256,108.4850168466425,198.38815913831223,Shrubland,0.4328037534267951,Laterite,528.1970273478314,331.5011621512563,1.0,Monsoon (Jun-Sep),No fatalities,0.0,6.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006049,2000473.0,Manipur,24.32674955013784,93.107072331709,692.5621227156697,39.37140752022409,359.9,0.6270348772559624,73.22028613630464,211.5021940988273,423.6762011230167,Dense Forest,0.2796795672446676,Silty Clay,1571.211288351284,206.24297084704952,1.0,Monsoon (Jun-Sep),No fatalities,0.0,6.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006052,2000786.0,Assam,24.82674938669636,92.85608651731629,91.33099623302276,10.8212617764108,283.92818670394485,-0.4697488703957607,68.06773168116288,200.36191377502288,390.8822790165668,Cropland,0.3828272149419671,Silty Clay,536.6380190873627,292.1037928850803,1.0,Monsoon (Jun-Sep),Moderate (3-5),1.0,4.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006053,2000591.0,Assam,26.12788558723375,91.86924194071722,114.60136630933314,15.171760417226894,213.2661494191769,-0.6312798890208031,30.016157379382875,88.6678282098281,170.38494559132528,Shrubland,0.3690861350109168,Loam,458.2598089889806,1128.985934818141,1.0,Monsoon (Jun-Sep),No fatalities,0.0,6.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006060,2000144.0,Manipur,24.9859765221132,93.50486156280772,1366.7665155379314,29.49395817965997,122.4393889968362,-1.1752575314917857,12.515222088477286,48.26543113946396,112.31520821805634,Shrubland,0.6015387230302679,Laterite,1080.0387202998277,304.4222387676016,1.0,Pre-monsoon (Apr-May),No fatalities,0.0,4.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006063,2000157.0,Assam,26.136721836246604,91.80798346078096,276.5492304162824,17.724078993301223,178.4910540772472,-1.1343990332691714,32.25201100166725,93.81598699785368,217.3221529978892,Cropland,0.0689758386090802,Sandy Loam,772.955566371387,315.10341598776967,1.0,Monsoon (Jun-Sep),No fatalities,0.0,4.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006067,2000404.0,Sikkim,27.21037740279864,88.58908989206779,4196.1,43.36196291097672,166.8577674369799,0.9304151531069113,18.45152928891187,46.11604930013866,93.196342539214,Shrubland,0.1616728241974025,Rocky/Skeletal,947.62084562748,168.25805499172336,1.0,Pre-monsoon (Apr-May),No fatalities,0.0,5.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006078,2000189.0,Assam,26.106959438329312,91.7401677169251,235.2150372869717,8.812532624948005,45.387691508983465,1.7786936533224291,40.141081705295576,111.03830681625452,225.1984053533348,Open Forest,0.1552227113592126,Sandy Loam,581.9164345800596,192.63892947280965,1.0,Monsoon (Jun-Sep),Moderate (3-5),1.0,6.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006085,2000600.0,Sikkim,27.30290197720589,88.26687729384166,3435.359425645788,41.39539363860544,158.6178506221355,-0.5444698700792246,21.55092394526729,54.22704219805358,104.4227092043007,Dense Forest,0.3978329131497526,Loam,234.51390835473345,44.905491420709296,1.0,Monsoon (Jun-Sep),No fatalities,0.0,4.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006087,2000759.0,Assam,26.130276617947903,91.82702039719383,267.6027120800311,16.358826717937188,173.97518062563503,-1.2459485522390206,48.828902945916376,120.60079887465632,193.7009386108769,Cropland,0.0468548329307187,Sandy Loam,756.3581964952252,313.110184526442,1.0,Monsoon (Jun-Sep),No fatalities,0.0,6.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006088,2000319.0,Manipur,24.95243486921126,93.54178193100086,1001.7072160338198,31.67896965711727,226.83750628244428,0.8494034624118844,32.27815884576748,91.65642732538387,155.19789841945493,Dense Forest,0.2310728987111256,Clay Loam,1523.5449213278569,702.6465482317277,1.0,Monsoon (Jun-Sep),Minor (1-2),1.0,5.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006090,2000226.0,Sikkim,27.338965989977485,88.62032489779152,1915.014630037852,36.74273175946264,53.09658377000735,0.8580933998321572,15.230550647086508,31.68959409297742,35.90440719138536,Cropland,0.3149582382452697,Rocky/Skeletal,912.095571328135,184.22856008590784,1.0,Pre-monsoon (Apr-May),No fatalities,0.0,5.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006094,2000680.0,Manipur,24.73178632545924,93.44302391878404,891.9127058203312,25.684414634232105,190.40488765390555,1.0574276810589265,18.32755768120553,53.91667257609653,114.43656837132002,Barren/Degraded,0.2117172702181924,Silty Clay,1810.7561959302927,228.7484864341213,1.0,Monsoon (Jun-Sep),No fatalities,0.0,5.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006097,2000689.0,Assam,26.12298026967803,91.92955064474287,354.2347549451148,14.714951272080148,15.493295044105713,1.305378827261978,86.13265571451088,240.6810761493405,457.22522934611806,Shrubland,0.3496055963081192,Laterite,377.3867917339393,291.2856293595693,1.0,Monsoon (Jun-Sep),Minor (1-2),1.0,4.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006102,2000435.0,Assam,25.171223621833605,93.00848063284916,179.95017442819898,20.10037177249404,254.2560814021067,-3.090597539778084,87.84166637699056,242.313663127096,455.973110355093,Open Forest,0.4436834967360002,Clay Loam,1419.5929060455026,37.294631414963966,1.0,Monsoon (Jun-Sep),No fatalities,0.0,6.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006104,2000579.0,Assam,26.212571245500804,91.8919718348257,210.86063469149488,20.303399642058263,298.72321380501023,-1.3965771236907605,49.50685758269265,145.8307367866089,251.59009636486377,Barren/Degraded,0.4242459891496694,Loam,88.49997109626274,530.394486436571,1.0,Monsoon (Jun-Sep),Minor (1-2),1.0,4.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006107,2000182.0,Assam,27.177087372745344,94.1407482362842,119.99533452498464,14.081384602347534,321.71412010417737,-0.4577692070544253,9.092359336283472,19.68236631307108,6.29399927734255,Cropland,0.6310183233434516,Sandy Loam,998.4117646568528,116.55937431374954,1.0,Monsoon (Jun-Sep),Minor (1-2),1.0,5.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006110,2000665.0,Sikkim,27.349973037604805,88.5991209954633,2426.4205586306693,29.16347711652676,359.6093723146055,-0.7548981098607356,29.096872630150187,72.20381055682495,125.6224211916343,Shrubland,0.0576756727229936,Silty Clay,1404.178279050584,152.99143949000876,1.0,Monsoon (Jun-Sep),No fatalities,0.0,4.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006112,2000574.0,Assam,26.18512624487746,91.72701941980988,117.021103409847,13.045565820262476,248.5721210818057,0.8326073723464245,47.032463017185535,127.01552885964936,257.6855935732778,Barren/Degraded,0.410044758046678,Laterite,743.4912613342357,316.05504901373644,1.0,Monsoon (Jun-Sep),Minor (1-2),1.0,4.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006123,2000576.0,Mizoram,23.857514350974565,93.05119260144536,1146.255124114525,32.14994476334009,237.0299410612811,1.0166461797641293,70.73477254299773,197.0798282532116,348.73339826316965,Dense Forest,0.6168366161190033,Laterite,694.6899943407484,1123.505139033999,1.0,Monsoon (Jun-Sep),No fatalities,0.0,6.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006141,2000774.0,Manipur,24.8226052509009,93.89690578840992,1295.8196444208718,35.913717350602255,34.62387003211641,-0.4154815244521496,91.44335509213631,243.15200855812373,436.4540878236896,Cropland,0.1512781956562515,Loam,1116.5955956030955,161.13866456183297,1.0,Monsoon (Jun-Sep),No fatalities,0.0,4.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006153,2000243.0,Sikkim,27.736441678674527,88.62169486003495,1902.381958384486,42.74055048634298,66.37825461070805,0.852426007696864,72.14632387167441,188.4195717557023,349.64919540867805,Open Forest,0.4144564891346683,Loam,1509.7771124785495,50.714560314966384,1.0,Monsoon (Jun-Sep),Minor (1-2),1.0,6.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006161,2000108.0,Assam,26.998120241171907,93.73041624755676,318.8572141453529,17.32648344126336,113.20133797892564,-0.6672906470421055,34.82947564494776,81.98631196390053,165.98279183302793,Barren/Degraded,0.1660374746167977,Sandy Loam,241.31622873826245,751.206524931568,1.0,Monsoon (Jun-Sep),No fatalities,0.0,4.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006169,2000279.0,Mizoram,23.682781988356226,93.01609319155392,1248.275173585572,30.48149383531668,329.1237150614935,-0.1874826045907673,18.48353753413972,55.7810605445806,117.5924118189474,Open Forest,0.0365910153397835,Silty Clay,380.9097039928922,268.1977286460924,1.0,Monsoon (Jun-Sep),No fatalities,0.0,6.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006174,2000767.0,Assam,26.17069842233904,91.73166346723578,42.3,13.394594513787796,99.77306267652568,-1.3651717177352627,81.0416539570776,219.26950863589133,418.5821769487955,Barren/Degraded,0.4134898012754033,Clay Loam,248.1451041253653,312.9608797772267,1.0,Monsoon (Jun-Sep),Moderate (3-5),1.0,4.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006176,2000228.0,Mizoram,23.32564453630344,92.84351274338384,1470.8557884079073,27.920029229849856,221.88235920169407,-2.743742447216743,32.08822397632212,76.42826858507296,142.60315568269525,Open Forest,0.2857143000403405,Rocky/Skeletal,1065.2661923057497,133.32679676068702,1.0,Monsoon (Jun-Sep),Severe (5+),1.0,4.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006182,2000386.0,Assam,26.0570845160426,93.15764870868948,137.80817907409153,20.335680785195823,272.52784191200715,-0.392644278800815,20.820547809346834,61.61226912199037,114.73965273428593,Barren/Degraded,0.3933541880832484,Clay Loam,633.5707101748955,299.0863068850581,1.0,Pre-monsoon (Apr-May),Moderate (3-5),1.0,4.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006191,2000474.0,Manipur,24.6795455268076,93.90527540988906,1868.607055038468,29.611025915011137,148.9142700920606,1.5833562087601425,106.79935675725773,295.0040767137525,628.6459298795675,Shrubland,0.2654918739457979,Laterite,23.3,470.2518028114033,1.0,Monsoon (Jun-Sep),No fatalities,0.0,6.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_006194,2000318.0,Assam,27.21453304384478,94.11234074957672,330.85281013071017,14.310402583299355,93.36970712145924,0.1018717916614221,106.47297962469698,280.3998631466953,540.0554554242868,Cropland,0.3764662847222744,Laterite,61.22916342543066,373.7450733831885,1.0,Monsoon (Jun-Sep),Severe (5+),1.0,5.0,synthetic_augmented_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,,,True,synthetic_augmented_positive,landslide_training_data.csv,False,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
